OBJECTID,COD_SIG,NOME,IDTIPO,PERIMETRO,AREA_M2,FREGUESIAS53,GlobalID,Shape__Area,Shape__Length
1,122,Santo António,4015,6313.94,1494348.58,Coração de Jesus + São José + São Mamede,884c79cb-a70a-4107-aa51-986598465f73,2458057.47753906,8097.07417216178
2,118,Parque das Nações,4015,12237.24,5435124.3,Santa Maria dos Olivais ,773f4b4b-4e67-4b98-a135-14ba7985edb9,8953806.93017578,15724.2847102511
3,115,Marvila,4015,12216.54,7122521.9,Marvila,7e11d378-03be-4890-937b-6c8903a33d7d,11724764.0874023,15674.4002589038
4,101,Ajuda,4015,9153.1,2876647.11,Ajuda,263a2abb-b73f-43b1-9c70-beb08b8f34bf,4730508.34619141,11740.5881599167
5,104,Areeiro,4015,6358.83,1719002.47,Alto do Pina + São João de Deus,97a38bba-54e6-4463-bede-05039f2e8a28,2829202.73535156,8153.22532714171
6,121,Santa Maria Maior,4015,9306.07,3011591.52,Castelo + Madalena + Mártires + Sacramento +Santa Justa + Santiago + Santo Estêvão + São Cristóvão e São Lourenço + São Miguel + São Nicolau + Sé + Socorro,661e72e3-05c3-40c6-bfe2-016625e57f09,4952034.12011719,11936.0707123726
7,103,Alvalade,4015,10751.3,5341751.02,Alvalade + Campo Grande + São João de Brito,6b83acaa-ef58-4c4d-bd16-a71cf1964d7c,8794657.43115234,13786.9680333988
8,108,Belém,4015,16050.78,10426948.88,Santa Maria de Belém + São Francisco Xavier,0fb03b7f-2393-4294-a4b5-9b2ad20e29ce,17138954.7587891,20577.2317950048
9,113,Estrela,4015,9927.92,4604095.97,Lapa + Prazeres + Santos-o-Velho,039f27c5-37e5-4367-9911-ccd96a50f6bc,7569527.76611328,12734.3867705081
10,105,Arroios,4015,8240.38,2127871.88,Anjos + Pena + São Jorge de Arroios,11eb9fde-21a8-4a20-975f-4278ba5900b9,3500783.4296875,10572.55294941
11,120,Santa Clara,4015,9431.48,3355562.58,Ameixoeira + Charneca,84ac563e-38ea-4414-b8be-12aaf84c6b12,5529409.33300781,12107.7477753023
12,106,Avenidas Novas,4015,8789.86,2994523.99,Nossa Senhora de Fátima + São Sebastião da Pedreira,c92aa4aa-bdc4-46f6-8c28-a75d1ee5f8f8,4927916.28222656,11274.8640287786
13,112,Carnide,4015,10445.19,3688827.32,Carnide,ee3241c2-4cd6-4bf9-9b75-d1d8daf679d1,6075093.00292969,13404.4260499424
14,123,São Domingos de Benfica,4015,10009.46,4294403.21,São Domingos de Benfica,aac2af7e-686e-40d5-a734-edcd41b4c9b5,7068743.01025391,12839.9979365406
15,107,Beato,4015,8329.64,2483775.04,Beato,5352fdcc-9f2f-44f7-9bf8-194df748012c,4086758.99707031,10685.118419621
16,111,Campolide,4015,8506.73,2774372.95,Campolide,64a23ab4-e7b2-42bd-a505-58c392d520de,4564789.18066406,10906.6713174125
17,102,Alcântara,4015,11258.45,5074843.76,Alcântara,fa6d3719-798a-4d63-aafc-c4ff00281ef9,8344776.64697266,14443.9310537656
18,110,Campo de Ourique,4015,6605.93,1651405.17,Santa Isabel + Santo Condestável,cc671b5e-9033-433b-98cc-5c0cb12df03c,2716166.58886719,8472.13246986213
19,124,São Vicente,4015,6997.46,1985855.99,Graça + Santa Engrácia + São Vicente de Fora,d510cf94-09df-408e-90f5-033584053b74,3266134.78808594,8974.77036124532
20,117,Olivais,4015,12584,8088293.95,Santa Maria dos Olivais,9d950101-4c6b-4b25-ba98-23fd41cdfe23,13323052.4501953,16147.9380311632
21,116,Misericórdia,4015,7419.73,2192198.78,Encarnação + Mercês + Santa Catarina + São Paulo,0886f36c-c5d8-49d9-86a2-6eb4d9ff75b7,3604355.8203125,9520.3551072085
22,114,Lumiar,4015,13240.99,6574930.77,Lumiar,ac86f15b-c89b-424e-bf79-a8e96b9afa91,10829688.1635742,16994.2644691607
23,119,Penha de França,4015,8556.55,2710760.87,Penha de França + São João,4f973d07-c6ca-46ab-8c31-f666bb334d80,4459645.48681641,10976.9472759543
24,109,Benfica,4015,16611.57,8024544.82,Benfica,b025fec8-47a2-4255-ba01-63d16cf97a82,13205379.0039063,21304.025257538
